class_name,class_name_description
Continuation,"
      
Continuation objects are generated by Kernel#callcc, after having
+require+d continuation. They hold a return address and execution
context, allowing a nonlocal return to the end of the callcc
block from anywhere within a program. Continuations are somewhat analogous
to a structured version of C's setjmp/longjmp (although they
contain more state, so you might consider them closer to threads).

For instance:

require ""continuation""
arr = [ ""Freddie"", ""Herbie"", ""Ron"", ""Max"", ""Ringo"" ]
callcc{|cc| $cc = cc}
puts(message = arr.shift)
$cc.call unless message =~ /Max/


produces:

Freddie
Herbie
Ron
Max


Also you can call callcc in other methods:

require ""continuation""

def g
  arr = [ ""Freddie"", ""Herbie"", ""Ron"", ""Max"", ""Ringo"" ]
  cc = callcc { |cc| cc }
  puts arr.shift
  return cc, arr.size
end

def f
  c, size = g
  c.call(c) if size > 1
end

f


This (somewhat contrived) example allows the inner loop to abandon
processing early:

require ""continuation""
callcc {|cont|
  for i in 0..4
    print ""\n#{i}: ""
    for j in i*5...(i+1)*5
      cont.call() if j == 17
      printf ""%3d"", j
    end
  end
}
puts


produces:

0:   0  1  2  3  4
1:   5  6  7  8  9
2:  10 11 12 13 14
3:  15 16

    "
Data,"
      
This is a recommended base class for C extensions using Data_Make_Struct or
Data_Wrap_Struct, see doc/extension.rdoc for details.

    "
Dir,"
      
Objects of class Dir are directory streams representing
directories in the underlying file system. They provide a variety of ways
to list directories and their contents. See also File.

The directory used in these examples contains the two regular files
(config.h and main.rb), the parent directory
(..), and the directory itself (.).

    "
ENV,"
      
ENV is a hash-like accessor for environment
variables.

    "
EOFError,"
      
Raised by some IO operations when reaching the end of
file. Many IO methods exist in two forms,

one that returns nil when the end of file is reached, the
other raises EOFError.

EOFError is a subclass of IOError.

file = File.open(""/etc/hosts"")
file.read
file.gets     #=> nil
file.readline #=> EOFError: end of file reached


    "
Encoding,"
      
An Encoding instance represents a character
encoding usable in Ruby. It is defined as a constant under the Encoding namespace. It has a name and optionally,
aliases:

Encoding::ISO_8859_1.name
#=> ""ISO-8859-1""

Encoding::ISO_8859_1.names
#=> [""ISO-8859-1"", ""ISO8859-1""]


Ruby methods dealing with encodings return or accept Encoding instances as arguments (when a method
accepts an Encoding instance as an argument, it
can be passed an Encoding name or alias
instead).

""some string"".encoding
#=> #<Encoding:UTF-8>

string = ""some string"".encode(Encoding::ISO_8859_1)
#=> ""some string""
string.encoding
#=> #<Encoding:ISO-8859-1>

""some string"".encode ""ISO-8859-1""
#=> ""some string""


Encoding::ASCII_8BIT is a special encoding that is usually
used for a byte string, not a character string. But as the name insists,
its characters in the range of ASCII are considered as ASCII characters.
This is useful when you use ASCII-8BIT characters with other ASCII
compatible characters.

Changing an encoding¶ ↑

The associated Encoding of a String can be changed in two different ways.

First, it is possible to set the Encoding of a
string to a new Encoding without changing the
internal byte representation of the string, with String#force_encoding. This
is how you can tell Ruby the correct encoding of a string.

string
#=> ""R\xC3\xA9sum\xC3\xA9""
string.encoding
#=> #<Encoding:ISO-8859-1>
string.force_encoding(Encoding::UTF_8)
#=> ""R\u00E9sum\u00E9""


Second, it is possible to transcode a string, i.e. translate its internal
byte representation to another encoding. Its associated encoding is also
set to the other encoding. See String#encode for the various forms
of transcoding, and the Encoding::Converter class for additional
control over the transcoding process.

string
#=> ""R\u00E9sum\u00E9""
string.encoding
#=> #<Encoding:UTF-8>
string = string.encode!(Encoding::ISO_8859_1)
#=> ""R\xE9sum\xE9""
string.encoding
#=> #<Encoding::ISO-8859-1>


Script encoding¶ ↑

All Ruby script code has an associated Encoding
which any String literal created in the source
code will be associated to.

The default script encoding is Encoding::UTF-8 after v2.0, but
it can be changed by a magic comment on the first line of the source code
file (or second line, if there is a shebang line on the first). The comment
must contain the word coding or encoding,
followed by a colon, space and the Encoding
name or alias:

# encoding: UTF-8

""some string"".encoding
#=> #<Encoding:UTF-8>


The __ENCODING__ keyword returns the script encoding of the
file which the keyword is written:

# encoding: ISO-8859-1

__ENCODING__
#=> #<Encoding:ISO-8859-1>


ruby -K will change the default locale encoding, but this is
not recommended. Ruby source files should declare its script encoding by a
magic comment even when they only depend on US-ASCII strings or regular
expressions.

Locale encoding¶ ↑

The default encoding of the environment. Usually derived from locale.

see ::locale_charmap,
::find(‘locale’)

Filesystem encoding¶ ↑

The default encoding of strings from the filesystem of the environment.
This is used for strings of file names or paths.

see ::find(‘filesystem’)

External encoding¶ ↑

Each IO object has an external encoding which
indicates the encoding that Ruby will use to read its data. By default Ruby
sets the external encoding of an IO object to the
default external encoding. The default external encoding is set by locale
encoding or the interpreter -E option. ::default_external
returns the current value of the external encoding.

ENV[""LANG""]
#=> ""UTF-8""
Encoding.default_external
#=> #<Encoding:UTF-8>

$ ruby -E ISO-8859-1 -e ""p Encoding.default_external""
#<Encoding:ISO-8859-1>

$ LANG=C ruby -e 'p Encoding.default_external'
#<Encoding:US-ASCII>

The default external encoding may also be set through ::default_external=,
but you should not do this as strings created before and after the change
will have inconsistent encodings.  Instead use ruby -E to
invoke ruby with the correct external encoding.

When you know that the actual encoding of the data of an IO object is not the default external encoding, you can
reset its external encoding with IO#set_encoding or set it at IO object creation (see IO.new options).

Internal encoding¶ ↑

To process the data of an IO object which has an
encoding different from its external encoding, you can set its internal
encoding. Ruby will use this internal encoding to transcode the data when
it is read from the IO object.

Conversely, when data is written to the IO object it
is transcoded from the internal encoding to the external encoding of the IO object.

The internal encoding of an IO object can be set with
IO#set_encoding or at IO object creation (see IO.new options).

The internal encoding is optional and when not set, the Ruby default
internal encoding is used. If not explicitly set this default internal
encoding is nil meaning that by default, no transcoding
occurs.

The default internal encoding can be set with the interpreter option
-E. ::default_internal
returns the current internal encoding.

$ ruby -e 'p Encoding.default_internal'
nil

$ ruby -E ISO-8859-1:UTF-8 -e ""p [Encoding.default_external, \
  Encoding.default_internal]""
[#<Encoding:ISO-8859-1>, #<Encoding:UTF-8>]

The default internal encoding may also be set through ::default_internal=,
but you should not do this as strings created before and after the change
will have inconsistent encodings.  Instead use ruby -E to
invoke ruby with the correct internal encoding.

IO encoding example¶ ↑

In the following example a UTF-8 encoded string “Ru00E9sumu00E9” is
transcoded for output to ISO-8859-1 encoding, then read back in and
transcoded to UTF-8:

string = ""R\u00E9sum\u00E9""

open(""transcoded.txt"", ""w:ISO-8859-1"") do |io|
  io.write(string)
end

puts ""raw text:""
p File.binread(""transcoded.txt"")
puts

open(""transcoded.txt"", ""r:ISO-8859-1:UTF-8"") do |io|
  puts ""transcoded text:""
  p io.read
end


While writing the file, the internal encoding is not specified as it is
only necessary for reading.  While reading the file both the internal and
external encoding must be specified to obtain the correct result.

$ ruby t.rb
raw text:
""R\xE9sum\xE9""

transcoded text:
""R\u00E9sum\u00E9""

    "
Encoding::CompatibilityError,"
      
Raised by Encoding and String methods when the source encoding is
incompatible with the target encoding.

    "
Encoding::Converter,"
      
    "
Encoding::ConverterNotFoundError,"
      
Raised by transcoding methods when a named encoding does not correspond
with a known converter.

    "
Encoding::InvalidByteSequenceError,"
      
Raised by Encoding and String methods when the string being transcoded
contains a byte invalid for the either the source or target encoding.

    "
Encoding::UndefinedConversionError,"
      
Raised by Encoding and String methods when a transcoding operation
fails.

    "
EncodingError,"
      
EncodingError is the base class for
encoding errors.

    "
Enumerator,"
      
A class which allows both internal and external iteration.

An Enumerator can be created by the following
methods.

Kernel#to_enum

Kernel#enum_for

::new


Most methods have two forms: a block form where the contents are evaluated
for each item in the enumeration, and a non-block form which returns a new
Enumerator wrapping the iteration.

enumerator = %w(one two three).each
puts enumerator.class # => Enumerator

enumerator.each_with_object(""foo"") do |item, obj|
  puts ""#{obj}: #{item}""
end

# foo: one
# foo: two
# foo: three

enum_with_obj = enumerator.each_with_object(""foo"")
puts enum_with_obj.class # => Enumerator

enum_with_obj.each do |item, obj|
  puts ""#{obj}: #{item}""
end

# foo: one
# foo: two
# foo: three


This allows you to chain Enumerators together.  For example, you can map a
list's elements to strings containing the index and the element as a string
via:

puts %w[foo bar baz].map.with_index { |w, i| ""#{i}:#{w}"" }
# => [""0:foo"", ""1:bar"", ""2:baz""]


An Enumerator can also be used as an external
iterator. For example, #next
returns the next value of the iterator or raises StopIteration if the Enumerator is at the end.

e = [1,2,3].each   # returns an enumerator object.
puts e.next   # => 1
puts e.next   # => 2
puts e.next   # => 3
puts e.next   # raises StopIteration


You can use this to implement an internal iterator as follows:

def ext_each(e)
  while true
    begin
      vs = e.next_values
    rescue StopIteration
      return $!.result
    end
    y = yield(*vs)
    e.feed y
  end
end

o = Object.new

def o.each
  puts yield
  puts yield(1)
  puts yield(1, 2)
  3
end

# use o.each as an internal iterator directly.
puts o.each {|*x| puts x; [:b, *x] }
# => [], [:b], [1], [:b, 1], [1, 2], [:b, 1, 2], 3

# convert o.each to an external iterator for
# implementing an internal iterator.
puts ext_each(o.to_enum) {|*x| puts x; [:b, *x] }
# => [], [:b], [1], [:b, 1], [1, 2], [:b, 1, 2], 3


    "
Enumerator::Generator,"
      
Generator

    "
Enumerator::Lazy,"
      
Lazy

    "
Enumerator::Yielder,"
      
Yielder

    "
Exception,"
      
Descendants of class Exception are used to
communicate between Kernel#raise
and rescue statements in begin ... end blocks. Exception objects carry information about the
exception – its type (the exception’s class name), an optional descriptive
string, and optional traceback information.  Exception subclasses may add additional
information like NameError#name.

Programs may make subclasses of Exception,
typically of StandardError or RuntimeError, to provide custom classes and
add additional information. See the subclass list below for defaults for
raise and rescue.

When an exception has been raised but not yet handled (in
rescue, ensure, at_exit and
END blocks) the global variable $! will contain
the current exception and $@ contains the current exception’s
backtrace.

It is recommended that a library should have one subclass of StandardError or RuntimeError and have specific exception types
inherit from it.  This allows the user to rescue a generic exception type
to catch all exceptions the library may raise even if future versions of
the library add new exception subclasses.

For example:

class MyLibrary
  class Error < RuntimeError
  end

  class WidgetError < Error
  end

  class FrobError < Error
  end

end


To handle both WidgetError and FrobError the library user can rescue
MyLibrary::Error.

The built-in subclasses of Exception are:

NoMemoryError

ScriptError

LoadError

NotImplementedError

SyntaxError


SecurityError

SignalException

Interrupt


StandardError -- default for
rescue

ArgumentError

UncaughtThrowError


EncodingError

FiberError

IOError

EOFError


IndexError

KeyError

StopIteration


LocalJumpError

NameError

NoMethodError


RangeError

FloatDomainError


RegexpError

RuntimeError -- default for
raise

SystemCallError

Errno::*


ThreadError

TypeError

ZeroDivisionError


SystemExit

SystemStackError

fatal – impossible to rescue


    "
FalseClass,"
      
The global value false is the only instance of class
FalseClass and represents a logically false value in boolean
expressions. The class provides operators allowing false to
participate correctly in logical expressions.

    "
Fiber,"
      
Fibers are primitives for implementing light weight cooperative concurrency
in Ruby. Basically they are a means of creating code blocks that can be
paused and resumed, much like threads. The main difference is that they are
never preempted and that the scheduling must be done by the programmer and
not the VM.

As opposed to other stackless light weight concurrency models, each fiber
comes with a stack.  This enables the fiber to be paused from deeply nested
function calls within the fiber block.  See the ruby(1) manpage to
configure the size of the fiber stack(s).

When a fiber is created it will not run automatically. Rather it must be
explicitly asked to run using the Fiber#resume method. The
code running inside the fiber can give up control by calling
Fiber.yield in which case it yields control back to caller
(the caller of the Fiber#resume).

Upon yielding or termination the Fiber returns the
value of the last executed expression

For instance:

fiber = Fiber.new do
  Fiber.yield 1
  2
end

puts fiber.resume
puts fiber.resume
puts fiber.resume


produces

1
2
FiberError: dead fiber called

The Fiber#resume method accepts an arbitrary number of
parameters, if it is the first call to resume then they will
be passed as block arguments. Otherwise they will be the return value of
the call to Fiber.yield

Example:

fiber = Fiber.new do |first|
  second = Fiber.yield first + 2
end

puts fiber.resume 10
puts fiber.resume 14
puts fiber.resume 18


produces

12
14
FiberError: dead fiber called

    "
FiberError,"
      
Raised when an invalid operation is attempted on a Fiber, in particular when attempting to call/resume a
dead fiber, attempting to yield from the root fiber, or calling a fiber
across threads.

fiber = Fiber.new{}
fiber.resume #=> nil
fiber.resume #=> FiberError: dead fiber called


    "
File,"
      
A File is an abstraction of any file object accessible by the
program and is closely associated with class IO.
File includes the methods of module FileTest as
class methods, allowing you to write (for example)
File.exist?(""foo"").

In the description of File methods, permission
bits are a platform-specific set of bits that indicate permissions of
a file. On Unix-based systems, permissions are viewed as a set of three
octets, for the owner, the group, and the rest of the world. For each of
these entities, permissions may be set to read, write, or execute the file:

The permission bits 0644 (in octal) would thus be interpreted
as read/write for owner, and read-only for group and other. Higher-order
bits may also be used to indicate the type of file (plain, directory, pipe,
socket, and so on) and various other special features. If the permissions
are for a directory, the meaning of the execute bit changes; when set the
directory can be searched.

On non-Posix operating systems, there may be only the ability to make a
file read-only or read-write. In this case, the remaining permission bits
will be synthesized to resemble typical values. For instance, on Windows NT
the default permission bits are 0644, which means read/write
for owner, read-only for all others. The only change that can be made is to
make the file read-only, which is reported as 0444.

Various constants for the methods in File can be
found in File::Constants.

    "
File::Stat,"
      
Objects of class File::Stat encapsulate common status
information for File objects. The information is recorded at
the moment the File::Stat object is created; changes made to
the file after that point will not be reflected. File::Stat
objects are returned by IO#stat, File::stat,
File#lstat, and File::lstat. Many of these
methods return platform-specific values, and not all values are meaningful
on all systems. See also Kernel#test.

    "
Float,"
      
Float objects represent inexact real numbers using
the native architecture's double-precision floating point representation.

Floating point has a different arithmetic and is an inexact number. So you
should know its esoteric system. see following:

docs.sun.com/source/806-3568/ncg_goldberg.html

wiki.github.com/rdp/ruby_tutorials_core/ruby-talk-faq#wiki-floats_imprecise

en.wikipedia.org/wiki/Floating_point#Accuracy_problems


    "
FloatDomainError,"
      
Raised when attempting to convert special float values (in particular
infinite or NaN) to numerical classes which don't
support them.

Float::INFINITY.to_r
#=> FloatDomainError: Infinity


    "
